s,ntype,text,TARGET,TARGET_ORIGINAL,dialogue_id,turn_id,type,source,persuasion,sourcedata
43,0,"The idea that LGBT+ people are promiscuous is just false. Most of the time, they are just as attracted to other people as anyone else.",2,SEXISM,718,1,CN,session_1,reasons,DialogConan
44,1,They better not be attracted to me! Gays are only perverts.,2,SEXISM,718,2,HS,session_1,reasons,DialogConan
45,0,"This is a statement that is used to justify all kinds of discrimination and violence, therefore I do not think this statement can be useful in understanding each other.",2,SEXISM,718,3,CN,session_1,reasons,DialogConan
46,1,And I will never understand gays. LGBTs have no place in a civilised society.,2,SEXISM,718,4,HS,session_1,reasons,DialogConan
47,0,All people have the right to be treated as equals. People with different sexual orientations than yours as well. Tolerance and acceptance of individual identity is surely the hallmark of a civilised society?,2,SEXISM,718,5,CN,session_1,reasons,DialogConan
48,1,Feminism is a anti-males ideology that denies the value of a man's manhood and aims to subvert the will of the male.,2,SEXISM,2767,0,HS,session_3,reasons,DialogConan
49,0,"Feminism is about equality for all. It's about equality of the genders, not the annichilation of men.",2,SEXISM,2767,1,CN,session_3,reasons,DialogConan
50,1,"Why is it important for women to be free? We shouldn't have to constantly talk about their rights, they're not entitled to them.",2,SEXISM,2767,2,HS,session_3,reasons,DialogConan
51,0,"I don't think you can say that women don't deserve rights. They are very important, and everyone should have the same rights.",2,SEXISM,2767,3,CN,session_3,reasons,DialogConan
52,1,"Okay, let's say women are equal, but that doesn't mean they are superior to men!",2,SEXISM,2767,4,HS,session_3,reasons,DialogConan
53,0,"It also doesn't mean that women are inferior to men. Women's rights are their own, and they are not subject to oppression and discrimination, just as men's rights are.",2,SEXISM,2767,5,CN,session_3,reasons,DialogConan
54,1,Gays are a burden to our society.,2,SEXISM,721,0,HS,session_1,None,DialogConan
55,0,"Gay people are people too. Just like anyone else. Being gay isn't a problem for you, is it?",2,SEXISM,721,1,CN,session_1,emotions,DialogConan
56,1,"We are not homophobes, we want to help them to become normal again.",2,SEXISM,721,2,HS,session_1,emotions,DialogConan
57,0,"This is another type of anti-gay prejudice, in that the source is a lack of understanding about LGBT and human rights.",2,SEXISM,721,3,CN,session_1,reasons,DialogConan
58,1,"LGBT+ people are a drain on society, we should stop advocating for their 'rights'",2,SEXISM,721,4,HS,session_1,reasons,DialogConan
59,0,We should not be so judgmental. Just because someone is LGBT doesn't mean that they are a drain on society. They are like any other member of our community.,2,SEXISM,721,5,CN,session_1,emotions,DialogConan
60,1,We should isolate gays because they are spreading AIDS all around the world.,2,SEXISM,722,0,HS,session_1,reasons,DialogConan
61,0,"If you want to isolate someone then there is only one ""high-risk group"" to focus on. It is made of all those who have frequent unprotected sex with different partners. Being gay does not make you a part of this by default.",2,SEXISM,722,1,CN,session_1,reasons,DialogConan
62,1,"It does, since gays are just sick. Moreover, they cannot marry. It is an abomination",2,SEXISM,722,2,HS,session_1,reasons,DialogConan
63,0,"Two women or two men who love each other do not hurt anyone, they are simply in love.",2,SEXISM,722,3,CN,session_1,emotions,DialogConan
64,1,"I'm sorry, but lesbians tend to have babies out of wedlock. That just doesn't gel.",2,SEXISM,722,4,HS,session_1,reasons,DialogConan
65,0,"I don't think you can guess if a person has 'kids out of wedlock', based on sexual orientation. Why shouldn't we accept people who do? Your argumentation doesn't seem to make sense to me.",2,SEXISM,722,5,CN,session_1,emotions,DialogConan
66,1,Faggots: They are the problem. Luckily they are few.,2,SEXISM,724,0,HS,session_1,reasons,DialogConan
67,0,Perhaps it is time you take a look at some of the profiles on dating site such as okcupid. You can see that many of the profiles are of gay men. BTW: gays do not appear to be the real problem here.,2,SEXISM,724,1,CN,session_1,reasons,DialogConan
68,1,"They are a problem, since gays are perverts.",2,SEXISM,724,2,HS,session_1,None,DialogConan
69,0,"There is nothing ""perverted"" about being attracted to people of the same sex.",2,SEXISM,724,3,CN,session_1,reasons,DialogConan
70,1,There is plenty of wrong with them! All these LGBT-faggots should be banned.,2,SEXISM,724,4,HS,session_1,reasons,DialogConan
71,0,"You are allowed to be a gay, or lesbian, or bisexual, or transgender, or intersex, or queer, or transvestite, or tranny, or asexual, pansexual, BDSM, or any other sexual orientation you want, as long as you aren't harming anyone.",2,SEXISM,724,5,CN,session_1,reasons,DialogConan
72,1,"If women don't stop complaining, then men will find a solution. If a woman does not submit, then there will be war.",2,SEXISM,2773,0,HS,session_3,None,DialogConan
73,0,There is no reason to fear women and force them into submission. Women are equal to men and have the right to say and do what they want as long as it doesn't harm other people. The same can't be said of war!,2,SEXISM,2773,1,CN,session_3,reasons,DialogConan
74,1,"No, women shouldn't fight for their rights. They don't deserve them.",2,SEXISM,2773,2,HS,session_3,reasons,DialogConan
75,0,The concept of 'equal rights' has always been used to promote the equality of the sexes. We should walk this path instead of dictating who gets rights and who doesn't.,2,SEXISM,2773,3,CN,session_3,reasons,DialogConan
76,1,The LGBT people are not interested in sex. It is a fad. They are a bunch of exhibitionists and promiscuous with no morality.,2,SEXISM,726,0,HS,session_1,reasons,DialogConan
77,0,"The LGBTI movement claims to be promoting love, it's not just sex or a fad.",2,SEXISM,726,1,CN,session_1,reasons,DialogConan
78,1,Homosexuality isn't the proper way to live love.,2,SEXISM,726,2,HS,session_1,reasons,DialogConan
79,0,"Do you know what the word 'proper' is? You cannot decide what it is 'proper' for others, homosexuality included. Don't you agree?",2,SEXISM,726,3,CN,session_1,reasons,DialogConan
80,1,"What I know is that faggots are violent, and that is definitely not proper",2,SEXISM,726,4,HS,session_1,credibility,DialogConan
81,0,"I don't think this is true. Homosexuals are not violent, they are just having a good time with all kinds of people.",2,SEXISM,726,5,CN,session_1,credibility,DialogConan
82,1,Called a woman a 'bird' the other day and she got mad at me. You can't say anything anymore! Lasses are too easily offended these days.,2,SEXISM,2777,0,HS,session_3,reasons,DialogConan
83,0,"This woman is a person! She has rights as one, you can't just yell at her because you like her, it's offensive.",2,SEXISM,2777,1,CN,session_3,reasons,DialogConan
84,1,"I've never met her before and it seemed like she was trying to get attention, but then she got mad when I gave her the attention. Isn't this crazy?",2,SEXISM,2777,2,HS,session_3,reasons,DialogConan
85,0,"If she was trying to go on about her day, there's no reason to assume she wanted you to catcall her. You should respect people's personal space and wishes.",2,SEXISM,2777,3,CN,session_3,emotions,DialogConan
86,1,I wish I lived in a country that does not tolerate gay people.,2,SEXISM,730,0,HS,session_1,None,DialogConan
87,0,"All countries must abide by the Universal Declaration of Human Rights, right?",2,SEXISM,730,1,CN,session_1,None,DialogConan
88,1,"I guess so, but gays are just a bunch of disgusting animals. They should be isolated from society and the world.",2,SEXISM,730,2,HS,session_1,reasons,DialogConan
89,0,Gays are not animals. Why you should isolate people based on their sexual preferences?,2,SEXISM,730,3,CN,session_1,reasons,DialogConan
90,1,Because gays are sick. I don't want them in my space,2,SEXISM,730,4,HS,session_1,reasons,DialogConan
91,0,"There is no evidence that homosexuality is a health problem. This myth started out as a form of discrimination based on sexual orientation and has since morphed into a weapon of hate, directed at the LGBT+ community.",2,SEXISM,730,5,CN,session_1,reasons,DialogConan
92,1,"Cultural Marxism hates the traditional family and wants to destroy it. This is what the LGBT agenda wants, it’s not about equality or pride, it’s sinister!",2,SEXISM,2779,0,HS,session_3,reasons,DialogConan
93,0,"I don’t think this is true, LGBT people don't have an agenda, they simply want to be accepted and have a family.",2,SEXISM,2779,1,CN,session_3,reasons,DialogConan
94,1,"Maybe in some cultures it is okay to go against traditional marriage, but here it's very damaging to society to do it.",2,SEXISM,2779,2,HS,session_3,reasons,DialogConan
95,0,"Same sex marriage has a lot stigma behind it, but it’s important to remember that all people have the same right, and this includes the right to marry.",2,SEXISM,2779,3,CN,session_3,reasons,DialogConan
96,1,"No, being gay is not normal, it's anti-marriage!",2,SEXISM,2779,4,HS,session_3,reasons,DialogConan
97,0,"Expanding the right to marry to LGBT people won't take away from heterosexual marriage, so I don't understand how it can be anti-marriage. This is about the right of people to have a family.",2,SEXISM,2779,5,CN,session_3,reasons,DialogConan
98,1,Just because we accept homosexuality doesn't mean we have to accept all LGBT trans-shit as well.,2,SEXISM,732,0,HS,session_1,reasons,DialogConan
99,0,"I think transgender people should be accepted on the same basis as anyone else, they are just less comfortable with the gender they were assigned at birth.",2,SEXISM,732,1,CN,session_1,reasons,DialogConan
100,1,"If they are not confortable with their gender, then they should be isolated.",2,SEXISM,732,2,HS,session_1,reasons,DialogConan
101,0,We shouldn't isolate Transgenders. There are plenty of people who need to learn respecting other sexual identites and it can only be possible if LGBT+ people are accepted as they are in our communities.,2,SEXISM,732,3,CN,session_1,reasons,DialogConan
102,1,But the LGBT community is full of sick people that must be cured.,2,SEXISM,732,4,HS,session_1,reasons,DialogConan
103,0,It is not true that all LGBT people are sick. There are many non-LGBT people that are sick as well. The national health service is aimed to cure anybody.,2,SEXISM,732,5,CN,session_1,reasons,DialogConan
104,1,Lesbians are just lying to themselves. It's a mental illness.,2,SEXISM,2778,0,HS,session_3,reasons,DialogConan
105,0,"No, it's not. Being lesbian means to be a woman and love women, that's it.",2,SEXISM,2778,1,CN,session_3,reasons,DialogConan
106,1,"Yes, but lesbians are not, and never have been, normal people, and this is a fact.",2,SEXISM,2778,2,HS,session_3,reasons,DialogConan
107,0,"How do you know they're not normal? Lesbians are people like anyone else, sexual orientations that are different from ""straight"" are normal.",2,SEXISM,2778,3,CN,session_3,reasons,DialogConan
108,1,"There's a reason bisexuals and lesbians are the least likely to get married, it's because they are not normal at all.",2,SEXISM,2778,4,HS,session_3,reasons,DialogConan
109,0,"Sexuality is a spectrum and straightness isn't the only option. Bisexual and lesbian people are just as much as people as any other, so they can get married without a problem. We need to do more to promote equality for people with different sexual orientations or gender.",2,SEXISM,2778,5,CN,session_3,reasons,DialogConan
110,1,Got on the train today and there's rainbow flag logos everywhere. Fed up of this LGBT stuff being shoved in our faces. When will this woke nonsense end?,2,SEXISM,2784,0,HS,session_3,reasons,DialogConan
111,0,This has been going on for a long time and it's a nice way to show people that they are accepted no matter what. I don't see the problem with it.,2,SEXISM,2784,1,CN,session_3,reasons,DialogConan
112,1,This is getting ridiculous. This needs to end. We can't force it.,2,SEXISM,2784,2,HS,session_3,emotions,DialogConan
113,0,Mindsets like this are part of the problem. We need to respect and accept LGBT people.,2,SEXISM,2784,3,CN,session_3,emotions,DialogConan
114,1,"So, anyone who disagrees with you is a bigot now? I'm not a homophobe just because I don't want to see gay stuff in town.",2,SEXISM,2784,4,HS,session_3,reasons,DialogConan
115,0,"LGBT people have been and still are oppressed, showing solidarity isn't bad. What makes you think they can't be treated with respect and safe space like everyone els?",2,SEXISM,2784,5,CN,session_3,reasons,DialogConan
116,1,LGBT people are a danger to society and we need to take a stand against them.,2,SEXISM,2786,0,HS,session_3,emotions,DialogConan
117,0,"Gay, bisexual, transngeder and all other LGBT people are often already persecuted, and this is wrong. They have done nothing to harm society and your statement is discriminatory.",2,SEXISM,2786,1,CN,session_3,reasons,DialogConan
118,1,"I don’t hate gays, bisexuals, or transgenders. But LGBT people are just a small minority and shouldn't make a big deal out of everything. They should keep quiet.",2,SEXISM,2786,2,HS,session_3,reasons,DialogConan
119,0,"They may be a minority, but it's not right to be biased towards them. LGBT people have the right to make their voices be heard, and we should listen in order to improve how we treat them.",2,SEXISM,2786,3,CN,session_3,emotions,DialogConan
120,1,Dressing children up in drag at pride parades is so perverse. They’re not even trying to hide their sexualisation of kids at this point.,2,SEXISM,2788,0,HS,session_3,None,DialogConan
121,0,"But it’s just so adorable when they do it though, and their little outfits are so cute! It's just playing dress up for them, nothing wrong with them celebrating in a fun parade.",2,SEXISM,2788,1,CN,session_3,reasons,DialogConan
122,1,I think it’s just because their parents are disgusting pricks if they think it's ok for children to dress like that.,2,SEXISM,2788,2,HS,session_3,reasons,DialogConan
123,0,"The idea that a child in a fun outfit is disgusting doesn’t make any sense. Participating in pride teaches them to be accepting and tolerant, you should try it.",2,SEXISM,2788,3,CN,session_3,reasons,DialogConan
124,1,"As a woman, you shouldn’t complain about having to upkeep your house. As a man, you should always make sure you’re providing.",2,SEXISM,2793,0,HS,session_3,reasons,DialogConan
125,0,"It’s a shame that, in your opinion, women shouldn't have the same rights as men, it’s a problem.",2,SEXISM,2793,1,CN,session_3,credibility,DialogConan
126,1,"It’s not a problem, women aren't entitled to equality, even though feminism always say the opposite.",2,SEXISM,2793,2,HS,session_3,reasons,DialogConan
127,0,"Everyone is entitled to rights and rights are supposed to be respected. The strive for equality of feminism is helping women around the world, so you shouldn't discount their fight.",2,SEXISM,2793,3,CN,session_3,credibility,DialogConan
128,1,"This ‘feminism’ is only for women, and women are incapable of holding any kind of opinion. It is a way to get around the patriarchy.",2,SEXISM,2793,4,HS,session_3,reasons,DialogConan
129,0,"There are many women who have a powerful voice and think that feminism is about equal rights. Fighting for equality is for everyone, not only women.",2,SEXISM,2793,5,CN,session_3,reasons,DialogConan
130,1,"And yet women are only concerned about power and the oppression of men, and that is why feminism is a bad thing.",2,SEXISM,2793,6,HS,session_3,reasons,DialogConan
131,0,"Feminism is about equality. To refer to feminism as just a movement against men, rather than a movement for the empowerment of women, is disingenuous and misleading.",2,SEXISM,2793,7,CN,session_3,reasons,DialogConan
132,1,Called a woman a 'bird' the other day and she got mad at me. You can't say anything anymore! Lasses are too easily offended these days.,2,SEXISM,2795,0,HS,session_3,credibility,DialogConan
133,0,"To me, it's not strange at all that she got angry. Women don't like to be yelled at on the streets, it's cat calling.",2,SEXISM,2795,1,CN,session_3,credibility,DialogConan
134,1,I'm tired of women whining that they are not allowed to enjoy going out because of men. Grow a pair!,2,SEXISM,2795,2,HS,session_3,credibility,DialogConan
135,0,"Women are human beings and deserve the same rights as men, and they should be valued equally. If they don't feel comfortable with certain ""attentions"", you should respect their wishes.",2,SEXISM,2795,3,CN,session_3,emotions,DialogConan
136,1,"What if the feminist movement only succeeded in attracting women who hate men, they are just a bunch of whiners.",2,SEXISM,2795,4,HS,session_3,reasons,DialogConan
137,0,"Feminism is not about women hating men. Some women are dissatisfied with how society ignores them and so turn to feminism, but the movement helps men too.",2,SEXISM,2795,5,CN,session_3,credibility,DialogConan
138,1,Lesbians are just lying to themselves. It's a mental illness.,2,SEXISM,2796,0,HS,session_3,None,DialogConan
139,0,"I think that's a rather personal attack on the lesbian community, which is not helpful in any way. ",2,SEXISM,2796,1,CN,session_3,credibility,DialogConan
140,1,"Maybe, but lesbians can't be real. They're a bunch of frauds, who are in it for the money and not the happiness.",2,SEXISM,2796,2,HS,session_3,credibility,DialogConan
141,0,I think the idea of a bunch of frauds in a community like the LGBTI is extremely offensive. How can you say such a thing? It seems very cruel and definitely not true. Lesbians exist and are very happy people.,2,SEXISM,2796,3,CN,session_3,reasons,DialogConan
142,1,"I simply hate gay people, they're just diseased.",2,SEXISM,2796,4,HS,session_3,reasons,DialogConan
143,0,"Gay people are not diseased, they are just different from some other people.",2,SEXISM,2796,5,CN,session_3,reasons,DialogConan
144,1,"Gays are not only different from us, they are sick. They should be isolated and confined.",2,SEXISM,2796,6,HS,session_3,credibility,DialogConan
145,0,"I don't think you know what the word 'sick' means, because homosexuality is not a disease, it is a sexual orientation. We can't exclude a group of people from society just because you don't like them.",2,SEXISM,2796,7,CN,session_3,reasons,DialogConan
146,1,"Cultural Marxism hates the traditional family and wants to destroy it. This is what the LGBT agenda wants, it’s not about equality or pride, it’s sinister!",2,SEXISM,2797,0,HS,session_3,reasons,DialogConan
147,0,"It sounds like you don't support equal rights for everyone, which is unfortunate. There is no LGBT agenda, they only want to be accepted in society.",2,SEXISM,2797,1,CN,session_3,reasons,DialogConan
148,0,"That's not true. Many LGBT people want to build a family and share the same values as us. I feel like ""traditional"" means ""bigoted"" here.",2,SEXISM,2797,3,CN,session_3,reasons,DialogConan
149,0,"We should respect people who are different from us and strive to be kind and considerate. Especially, we should let them exert their rights.",2,SEXISM,2797,5,CN,session_3,credibility,DialogConan
150,0,"I don’t see any difference between us and them. If you don’t want to associate with people like them, then don’t associate with them, but you should never disrespect someone just because they're different from you.",2,SEXISM,2797,7,CN,session_3,reasons,DialogConan
151,1,"No, they hate traditional family values I don’t want them to get control of society.",2,SEXISM,2797,2,HS,session_3,reasons,DialogConan
152,1,"I’m not OK with it! They’re not like us and building a family shouldn’t be allowed for them, they’re different",2,SEXISM,2797,4,HS,session_3,credibility,DialogConan
153,1,"If they’re different, they shouldn't associate with us. Then I could consider being tolerant.",2,SEXISM,2797,6,HS,session_3,reasons,DialogConan
154,1,Bisexuals are greedy.,2,SEXISM,2799,0,HS,session_3,None,DialogConan
155,1,"I don't care about the opinions of gays. I don't like them, they are bad for our society.",2,SEXISM,2799,2,HS,session_3,emotions,DialogConan
156,0,"Bisexuality has nothing to do with greed, it is a sexual orientation. To suggest that bisexuals are inherently bad for society because of their sexual orientation is simply wrong.",2,SEXISM,2799,1,CN,session_3,reasons,DialogConan
157,1,"I am just saying that bisexuality is different from other sexual orientations, and this isn't good.",2,SEXISM,2799,4,HS,session_3,reasons,DialogConan
158,0,"We can all be attracted to people of the same sex, the opposite sex or other genders, we are free to choose our partners. Why do you think this is an issue?",2,SEXISM,2799,5,CN,session_3,reasons,DialogConan
159,0,Your personal tastes doesn't make an entire group of people bad for society. You should know better!,2,SEXISM,2799,3,CN,session_3,credibility,DialogConan
160,1,"This female is a bitch, she is a slut and she is not worth listening to.",2,SEXISM,706,0,HS,session_1,reasons,DialogConan
161,0,Perhaps we should have a look at what women have to say about this topic rather than perpetuating sexist stereotypes.,2,SEXISM,706,1,CN,session_1,emotions,DialogConan
162,1,Women need men's approval to do anything.,2,SEXISM,706,2,HS,session_1,credibility,DialogConan
163,0,"Women might not always be right (it's just that sometimes they feel they have to be). And even if they are wrong, they can always prove themself better. But for sure they don't need a man to tell them how to live their lives.",2,SEXISM,706,3,CN,session_1,reasons,DialogConan
164,1,On the contrary: they sure need it. Women are nothing but objects to be dominated by the will of a man.,2,SEXISM,706,4,HS,session_1,reasons,DialogConan
165,0,Women are human beings with human rights. To suggest that they are objects to be dominated by a man's wishes is discrimination and oppression.,2,SEXISM,706,5,CN,session_1,reasons,DialogConan
166,1,Women are inherently subhuman and should not be valued.,2,SEXISM,707,0,HS,session_1,emotions,DialogConan
167,0,"That is just not true. There are many women who are brave and strong, and I respect them for that. What's more, there is also a movement called #MeToo, which is dedicated to giving voice to women who have suffered from sexual harassment.",2,SEXISM,707,1,CN,session_1,reasons,DialogConan
168,1,"Why do we put up with this ""movements""? Women are horrible animals and must be oppressed.",2,SEXISM,707,2,HS,session_1,reasons,DialogConan
169,0,"Although there are definitely differences between men and women, they don't imply that women are less than men, or deserve inferior treatment.",2,SEXISM,707,3,CN,session_1,reasons,DialogConan
170,1,But they are less than men! Women's goal in life is to fulfil men desires.,2,SEXISM,707,4,HS,session_1,reasons,DialogConan
171,0,"I just would like women to feel valued and their rights respected, without being told how to live their life.",2,SEXISM,707,5,CN,session_1,emotions,DialogConan
172,1,This is the problem in modern civilization. We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,2,SEXISM,707,6,HS,session_1,reasons,DialogConan
173,0,"Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'.",2,SEXISM,707,7,CN,session_1,reasons,DialogConan
174,1,Women are incompetent and shouldn't work.,2,SEXISM,2756,0,HS,session_3,emotions,DialogConan
175,0,Not all women are incompetent and we should encourage women to work if that is what they want. There are many successful women who are more than competent.,2,SEXISM,2756,1,CN,session_3,reasons,DialogConan
176,1,"No, success for women is impossible because of their incompetence.",2,SEXISM,2756,2,HS,session_3,reasons,DialogConan
177,0,"If we want to see more women in the workforce, we should not tell them that they are incompetent on the basis of gender, it's wrong.",2,SEXISM,2756,3,CN,session_3,reasons,DialogConan
178,1,I can't help but think that women are a problem.,2,SEXISM,2756,4,HS,session_3,emotions,DialogConan
179,0,"Women are human beings with unique talents, and they are valuable resources.",2,SEXISM,2756,5,CN,session_3,reasons,DialogConan
180,1,Lesbians deserve to be discriminated against.,2,SEXISM,753,0,HS,session_1,emotions,DialogConan
181,0,"Well, not in particular: many people are suffering from homophobia. I think it would be a shame to keep on hating.",2,SEXISM,753,1,CN,session_1,reasons,DialogConan
182,0,"Do you really think that 'they'd better give in' when it comes to their own preferences? We aren't all gay, or lesbian, bisexual, transgender or intersex, but some people are. That's all.",2,SEXISM,753,3,CN,session_1,credibility,DialogConan
183,1,If they don't want to be hated then they'd better give in to heterosexuality.,2,SEXISM,753,2,HS,session_1,reasons,DialogConan
184,1,Gay men are a burden on society because of their lifestyle choices.,2,SEXISM,754,0,HS,session_1,reasons,DialogConan
185,1,"Because gay perverts are a danger, since they are raping children.",2,SEXISM,754,2,HS,session_1,reasons,DialogConan
186,0,Why do you think this way about a certain group? There are so many ways to live life.,2,SEXISM,754,1,CN,session_1,emotions,DialogConan
187,0,"Being gay has nothing to do with being a pervert. Also, gay people are not a danger to society, they are a part of it!",2,SEXISM,754,3,CN,session_1,reasons,DialogConan
188,1,Gays are perverts.,2,SEXISM,756,0,HS,session_1,None,DialogConan
189,1,"You better watch out, because they are the real psychopaths.",2,SEXISM,756,2,HS,session_1,reasons,DialogConan
190,0,Why do you think it is a crime to be gay? It is a societal disorder to target gays.,2,SEXISM,756,1,CN,session_1,reasons,DialogConan
191,0,"According to the studies, the percentage of gay men that are actually psychopaths, is not different than the percentage in heterosexual.",2,SEXISM,756,3,CN,session_1,reasons,DialogConan
