s,DialogId,turn,Type,ID,text,label,persuasion,Topic,source
84,1500733106378403841,0,HS,1500733106378403841,"Half my patients today, at least, were affected by intimate partner abuse. This is in a random sample of ED patients with all manner of presenting complaints. 

I’m so sick of men beating women up. I’m so sick of the manipulation. It never fucking ends.",0,emotions,Racism,ContextCounter
85,1500733106378403841,1,CN,1509089897407078400," I'm ridiculously clumsy and manage to injure myself in strange sounding ways - I once had to present with suspected concussion because I accidentally headbutted a towel rail while cleaning around the bath -
is there a good way to convey to healthcare staff that I'm NOT at risk?",1,credibility,Racism,ContextCounter
86,1500733106378403841,2,CN,1500754438184906754,"  The legal system perpetuates the fuck out of it, too. I don't even specialise in family violence, but three of my current clients are survivors and their abusive exes are using the legal system to perpetuate the abuse.",1,reasons,Racism,ContextCounter
87,1500733106378403841,3,CN,1500778208551051265," Today I was mansplained that the “normal” victim of physical and sexual abuse is poor, has missing teeth, is uneducated
🤬
Yeah, right
It’s not the “uneducated poor” perpetrating this, it’s the men. 

Some of whom happen to be poor, and plenty of whom are not.",1,emotions,Racism,ContextCounter
1054,849654065437052928,0,HS,849654065437052928,"Man fuck it if you not F.C.M.G , SC 4700, and or Greenlife then I'm sending good shots at y'all weak Asses 😂😂💯",0,None,Other,ContextCounter
1055,849654065437052928,1,CN,849684813741260800," soo I ain't trying to get the shots but what exactly are F.C.M.G ,SC, 4700, and greenlife? Lol",1,None,Other,ContextCounter
834,1301311996042702849,0,HS,1301311996042702849,Just so y’all know josh dun (other member of the band) and debby ryan (josh’s girlfriend) also liked the post 🤪 I really hate white people https://t.co/hQOaG3r4xt,0,emotions,Racism,ContextCounter
835,1301311996042702849,1,CN,1301344854572756992, sorry but what exactly does this mean?? i don't get it,1,None,Racism,ContextCounter
1031,1089978297788829698,0,HS,1089978297788829698," Was not intended. I despise muslim men &amp; Islams treatment of women. Ive been married to a muslim for over 10-years &amp; find what her relations try to impose despicable. I apologise if what I said offended you, it really was a veiled compliment &amp; is just a view. Thats all.",0,credibility,Religious,ContextCounter
1032,1089978297788829698,1,CN,1089979222196551680, There was no veiled compliment in that at all just a load of hogwash.,1,None,Religious,ContextCounter
967,1391275675097595906,0,HS,1391275675097595906,"&gt; turns out she's having a child she know will pass likely within days
&gt; this woman is having a baby for the thrill of watching it suffer and die
&gt; so it can ""share truth &amp; share about Jesus"" (her words)
&gt; just so she can feel all high &amp; holy
&gt; I fucking hate religious people",0,reasons,Religious,ContextCounter
968,1391275675097595906,1,CN,1391277246799925248," You mean why not an  abortion in time? 
Maybe it was too late for that 🤔",1,emotions,Religious,ContextCounter
98,1541154326076395520,0,HS,1541154326076395520,"“feminism isn’t about hating men” is so funny to me bc i promise you that when men are taking away our rights, raping, abusing and killing us they never stop to think “oh gee, i sure hope no one thinks that i hate women”",0,reasons,Sexism,ContextCounter
99,1541154326076395520,1,CN,1541158587266871297," I understand that, however, there are trans men who can get pregnant not only that there are nonbinary, gender non-conforming, etc. Women are not the only ones facing their rights being taken away.",1,emotions,Sexism,ContextCounter
5,1359330367157764098,0,HS,1359330367157764098,"You know that atheist bus campaign some years ago? “There’s no god, now live your life” etc.

Not “religion should be illegal” or “I hate religious people.”

Gender is fiction. Be free and live your life. https://t.co/kWRAEFQR2C",0,emotions,Religious,ContextCounter
6,1359330367157764098,1,CN,1359339633352478728," This is a good question, actually. I don't ""hate"" people who call themselves non-binary; however, I don't support this strategy because it frames gender as a personal identity rather than a set of compulsory practices imposed to maintain women's subordination.",1,emotions,Religious,ContextCounter
905,1309201426376265729,0,HS,1309201426376265729,Daughter at Uni loves running. Just told me ‘I’m sick of men in cars honking their horns and shouting out the car window at me. Two men in a car got stuck at a red light and I went up to  window and told them to go f**k themselves. Should have seen their faces.’,0,emotions,Racism,ContextCounter
906,1309201426376265729,1,CN,1309400252169031680," Catcalling makes my blood boil. Men who are walking behind or past women and make suggestive and unwelcome comments.
They often think they're giving a compliment. In reality, at best they're being annoying at worst they're really scaring the woman.",1,emotions,Racism,ContextCounter
907,1309201426376265729,2,CN,1309415516671483904,"  Although I admire the sentiment, if that was my daughter I would be underlining the danger in doing such a thing. Who knows what those guys were like or what their reactions may be to her going up to them.",1,credibility,Racism,ContextCounter
908,1309201426376265729,3,CN,1309413484061483008," This is not news this is just about dealing with arseholes of which there are many unfortunately. Getting all het up about it wont help. She just needs to learn to deal with it and rise above it. Such is the world we live in unfortunately, this behaviour won't go away. Like flies",1,emotions,Racism,ContextCounter
910,1309201426376265729,5,CN,1309237650881228800, After reading many of the replies can I add something My wife &amp; I run together regularly &amp; lots of people we don't know comment how they see us If you run alone mix up ur routes &amp; the times you run we are creatures of habit &amp; you don't know who knows your routine it surprised us,1,credibility,Racism,ContextCounter
135,1541500352532516865,0,HS,1541500352532516865,"I’m gonna be honest, I’m so sick of religious people using a fictional book to make decisions that control the lives of others.",0,reasons,Religious,ContextCounter
136,1541500352532516865,1,CN,1541501311216132097," Just an observation, belittling a massive group of people’s belief system is probably not the best way to communicate, compromise, or get along.  Unless it’s a dictatorship, then it would work fine.",1,emotions,Religious,ContextCounter
827,1309749621233577984,0,HS,1309749621233577984,I'm seriously so done with these ppl. His comment that day was so uncalled for &amp; the fact that Anushka felt so uncomfortable &amp; disrespected to the point that she called him out and he didn't even bother to apologise but made some random statement. I despise men so fckn much. https://t.co/O5JtuKJMbx,0,emotions,Other,ContextCounter
828,1309749621233577984,1,CN,1310084554112163841," I honestly do not understand why he had to drag Anushka into it
Their personal life that has NOTHING to do with cricket has to be dragged out in public and for what? A bitter old man who doesn't have manners to speak well?",1,emotions,Other,ContextCounter
150,1398684935393710082,0,HS,1398684935393710082,"This has nothing to do with ""getting to the bottom of things."" Just say ""I hate Chinese people!"" and go.

Lab leak vs unintentional transmission doesn't change anything about what we should be doing next: vaccinating everyone in the world that wants to be vaccinated.",0,reasons,Racism,ContextCounter
151,1398684935393710082,1,CN,1398716035474329602," I’d disagree - if it was a lab leak we should be looking at what systems need to change to prevent future leaks. 

Blameless culture or all that. Not that it seems to exist in some minds.",1,None,Racism,ContextCounter
836,1454545865650040832,0,HS,1454545865650040832,i’m sick of men commentators in womens skateboarding competitions. stop doing that,0,emotions,Sexism,ContextCounter
837,1454545865650040832,1,CN,1454584541188919298, This is more of a reflection of how male dominated the industry has been. Who do you suggest should commentate? Also remember commentating isn’t a skate centric thing but a mass appeal decision.,1,emotions,Sexism,ContextCounter
147,1535724487844499457,1,CN,1535962315782115328, were yall just sitting up waiting for her to trip up and say something like that. honestly its j a obscure twt referring to dk even who. noones claiming to be a perfect feminist,1,emotions,Racism,ContextCounter
146,1535724487844499457,0,HS,1535724487844499457,"they act like ""hardcore feminists that will do anything to elevate womankind"" but they just use that to hide their ""i hate men"" agenda. read it twice, thrice, as many times as you need https://t.co/Bno9hUY1Hk https://t.co/3SipNmUMF8",0,emotions,Racism,ContextCounter
975,1412294008668258307,0,HS,1412294008668258307,I literally don’t even care whether it’s a take that tracks or not I’m sick of straight people talking about queer issues I just don’t care what they have to say and I want them to be quiet,0,emotions,Racism,ContextCounter
976,1412294008668258307,1,CN,1412294559493726209, No it’s so annoying like u can be an ally without speaking for us and inadvertently silencing actual lgbtq voices,1,emotions,Racism,ContextCounter
22,286301069351452672,0,HS,286301069351452672,Yes you are. RT : Yes you are. RT : im not racist but I fucking hate chinese people,0,reasons,Religious,ContextCounter
23,286301069351452672,1,CN,286320435161870336,"  “I’m not (x)ist, but {(x)ist statement}”. When will people learn?",1,None,Religious,ContextCounter
105,1538490639247151105,0,HS,1538490639247151105,"    Claiming any negativity towards a person of a race as being racist won’t get you anywhere. It doesn’t matter what race it is. If we used your logic, if I said I hate bts’ music, boom, racist. If I said I don’t like boris, boom racist. If I said I don’t like Indian food… racist",0,reasons,Racism,ContextCounter
106,1538490639247151105,1,CN,1538525828836995073,"    Tuned out when I noticed someone telling an effected person about their experience.

Let me guess you tell women how they should think, feel, acknowledge and respond to sexism…

Glad I don’t take unsolicited advice from people attempting to mansplain me into gaslit confusion",1,emotions,Racism,ContextCounter
821,330146559402602496,0,HS,330146559402602496,I hate niggers,0,reasons,Religious,ContextCounter
822,330146559402602496,1,CN,330148006047412224, you used to be the blackest kid I knew..... Navarre nutted on you.,1,emotions,Religious,ContextCounter
94,1348282967173566464,0,HS,1348282967173566464,"    ""just because i don't like jews doesn't mean I'm anti-semetic!"" 

that's what you sound like",0,reasons,Other,ContextCounter
95,1348282967173566464,1,CN,1348295305750581248,    you realize they're making fun of the kid in the op right lmao,1,None,Other,ContextCounter
123,1244825571730657280,1,CN,1244830453208670209," Hi, can you please find something better to do then bully my friends??",1,None,Racism,ContextCounter
122,1244825571730657280,0,HS,1244825571730657280,Isn’t she the one that constantly bullies people on this dumb bird app thinking it’s quirky 🥴 I cannot stand white people https://t.co/IKzyr8uJrx,0,emotions,Racism,ContextCounter
39,1418631654705336329,0,HS,1418631654705336329,"Why I despise Islam.

‘Apostate men must be killed, while women must be held in solitary confinement and beaten every three days till they recant and return to Islam.’ https://t.co/BCzigECpqB",0,reasons,Religious,ContextCounter
40,1418631654705336329,1,CN,1418777511811559425," How come? The primary source of Islamic teachings is Quran which clearly states:

There’s no compulsion in religion. Surely right has become distinct from wrong. (2:256)

Also see 4:137, 10:108, 18:29 &amp; 109:6.

Accountability for merely disbelieving will take place after death.",1,emotions,Religious,ContextCounter
1020,974442679005253633,0,HS,974442679005253633,"I don't quite know how to word this better, but I'm sick of Muslims bashing Stephen Hawking in an attempt to be pious and get RTs. We get it, he was an atheist. Just because someone is likely not going to Paradise doesn't mean we have to disrespect them after death. He overcame",0,reasons,Religious,ContextCounter
1021,974442679005253633,1,CN,974444979643875329, Who is one to even say who is going to paradise or not?,1,emotions,Religious,ContextCounter
1022,974442679005253633,2,CN,974442680875913221,"Incredible physical limitation to produce some of the best-known scientific theories of the last century. What have you accomplished in terms of Deen *or* Dunya? Were RTs really so important to you? Did you get that DM from your crush? Seriously, just let Allah deal with the man.",1,reasons,Religious,ContextCounter
96,1539042612149161984,0,HS,1539042612149161984,"   ...it's weird when we treat real life people like this too. Most creators don't take kindly to invasive fanfics written about them. Also smh at just accusing me of stuff bc you don't like my opinion. If I don't like Asian female characters, why is Kimiko from ""The Boys"" so good?",0,reasons,Other,ContextCounter
97,1539042612149161984,1,CN,1539045159110725632,"   We're all going to die and we're all insignificant in this vast Universe
Nobody gives a shit cosplaying a dead person
But being so weird about people who are alive matters because they're alive.
Also how do i know if you're lying about liking kimiko just to win the argument 👀",1,reasons,Other,ContextCounter
216,1222140332915265537,0,HS,1222140332915265537,“Chinese communism now threatens the world with a massive medical disaster.” This is why the revolution in HK must continue! #HongKong      #WuFlu  #HK  https://t.co/JpQ4PJaOND,0,reasons,Religious,ContextCounter
217,1222140332915265537,1,CN,1222159604500652032,      Can't you just leave your political agenda aside for a while and think about how difficult the situation is for people in China? They deserve our prayers and help - stop bashing this country and pray for the people #WuhanCoronovirus #coronavirus,1,reasons,Religious,ContextCounter
1052,1260757622426341377,0,HS,1260757622426341377,"I’m so sick of lesbian twitter making subs about abuse , IF WE DONT KNOW ABOUT IT HOW TF CAN WE SUPPORT OR NOT SUPPORT . So clearly if you not going to ad names with proof must stfu about it at this point https://t.co/QRove8BwuX",0,reasons,Sexism,ContextCounter
1053,1260757622426341377,1,CN,1260758694037520384," i don’t know what im supposed to respond back to this lol, this must be to the tweet i quoted cuz i dont have to @ anyone to express what i been seeing on my TL all day.",1,emotions,Sexism,ContextCounter
1009,1178589373513764864,0,HS,1178589373513764864,  Lol...na dem...faggot gang 🤣🤣🤣🤣🤣,0,None,Other,ContextCounter
1010,1178589373513764864,1,CN,1178592587416002560,  Is that supposed to be an insult. Mumu oshi,1,None,Other,ContextCounter
838,1318184887476645889,0,HS,1318184887476645889,If you look both ways before you cross the street you’re a pussy,0,None,Other,ContextCounter
840,1318184887476645889,2,CN,1318406298925371392," Stfu, there's nothing sexier than road safety smh",1,None,Other,ContextCounter
839,1318184887476645889,1,CN,1318527832302170112," It's also very unsafe, a lot can change when your not looking, which is why I violently spin around when crossing the street so I get a constant 360° View of my surroundings at all times.",1,emotions,Other,ContextCounter
133,1481896510166077441,0,HS,1481896510166077441,"The LGBTQI community has pick mes too. The ones who think it’s a compliment when straight people tell them “I don’t like gay people but you’re cool.” Or “At least you’re not gay gay.”

Wake up 😩 that’s homophobia!",0,reasons,Sexism,ContextCounter
134,1481896510166077441,1,CN,1481911421713764355, Yes they do or team “you don’t act like other queers” like what do you mean?,1,reasons,Sexism,ContextCounter
1058,439496034155499520,0,HS,439496034155499520,Justin Bieber win Oscar for suck my balls you dead dog midget dick son of a bitch,0,reasons,Racism,ContextCounter
1059,439496034155499520,1,CN,439496282026303488, that might be the bed thing ever said about Justin Bieber.,1,emotions,Racism,ContextCounter
734,1254143384651849728,0,HS,1254143384651849728,I’m so sick of white people equating their temper tantrums and violating shelter in place orders to eat at some bland ass restaurant or get their hair done to fucking ROSA PARKS. https://t.co/3Vx5w6cggR,0,reasons,Religious,ContextCounter
735,1254143384651849728,1,CN,1254207016517505024," I'm sick of people acting like Rosa Parks was something special. 

Claudette Colvin was special. She didn't have anyone helping her when she was arrested nine months before. 

So, I guess we are both at a loss here.",1,emotions,Religious,ContextCounter
202,1529867769457610759,1,CN,1529896649795022855,  It costs $0 to mind your business when shit ain’t got nothing to do with you.,1,emotions,Racism,ContextCounter
201,1529867769457610759,0,HS,1529867769457610759,"the way i can’t stand women who false claim serious allegations, like girl shut the fuck up before i beat your ass fr",0,emotions,Racism,ContextCounter
825,1441636428404781056,0,HS,1441636428404781056,Katie Harris: I'm sick of women being killed and nothing changing  https://t.co/ldqhH3TEVq https://t.co/1aWSysNNbz,0,emotions,Racism,ContextCounter
826,1441636428404781056,1,CN,1441646155801104390, If social services stop dehumanising people they might stop hurting innocent people. Justice system doesn't prevent crime it only perpetuates vengeance. 🤷,1,reasons,Racism,ContextCounter
780,337244453284745216,0,HS,337244453284745216,Fucking Muslims ... Terrorist attack,0,reasons,Religious,ContextCounter
781,337244453284745216,1,CN,337248228447748096, yo blood u sure its a Muslim ting? If not then...... No one wants unneeded tension from just hear say,1,emotions,Religious,ContextCounter
998,1092650700050292736,0,HS,1092650700050292736,"Can’t help wondering: if his friend had been raped by a white guy, would he have gone out for a week looking to provoke and kill white guys?",0,emotions,Racism,ContextCounter
999,1092650700050292736,1,CN,1092726808640929792, Oh and having listened to the piece again I don’t think he was provoking?,1,emotions,Racism,ContextCounter
1000,1092650700050292736,2,CN,1092697032723189760, Doubt it. Am also noting all the excuses going on. Am also noting that he used a female friend’s trauma for his media junket. Asshole on every level.,1,reasons,Racism,ContextCounter
168,1452667210686730244,0,HS,1452667210686730244,"Ich wurde heute gefragt ob ich straightphobic bin xD
Not sure if I should laugh or cry
Like do I rly look that gay that it's already obviously that I am so you just ask if I despise straight people?💀💀🤚
(Btw I have nothing against straight people (obviously xD))",0,reasons,Racism,ContextCounter
169,1452667210686730244,1,CN,1452675276400377863, Ok but when u tried to defend urself u made it even worse💀💀,1,emotions,Racism,ContextCounter
1185,1458081735925800962,0,HS,1458081735925800962,"WTF  is this?  The ""I don't like gay people but y'all are smart?"" hot take? https://t.co/5BhZnVraGt",0,reasons,Sexism,ContextCounter
1186,1458081735925800962,1,CN,1458085682207932418," My brother is gay. Many times he defines himself as a gay this....or a gay that. I've asked him to please stop doing that. The fact that he is gay is not what defines him at all. He is kind, generous, smart, funny, and so on. Being gay is just part of who he is.",1,emotions,Sexism,ContextCounter
845,1540444356653379586,0,HS,1540444356653379586,tell me why i fell asleep at like 7 am and woke up at 1 first thing I saw was the abortion shit I hate today and I hate men,0,emotions,Sexism,ContextCounter
846,1540444356653379586,1,CN,1540446552094900224, Imagine if you were a man and said u hate women…,1,emotions,Sexism,ContextCounter
924,1362578076463370240,0,HS,1362578076463370240,don’t make “i hate mexican” jokes if you aren’t mexican????? common fucking sense shut the fuck up https://t.co/bk3tejRU8F,0,emotions,Religious,ContextCounter
925,1362578076463370240,1,CN,1362583888959336450,"  and then she put a reply saying if it was offensive to tell her to take it down??? and people (mexicans) were saying it was fine???? like if you have a second thought that it might be offensive, maybe delete it???!!!?!",1,emotions,Religious,ContextCounter
113,1542533095701811202,0,HS,1542533095701811202,I fucking hate men. What gives them the right to scream out from their van at me as I was trying to walk home,0,reasons,Sexism,ContextCounter
114,1542533095701811202,1,CN,1542626307556937728, FOR REAL they have some fkn nerve i swear,1,emotions,Sexism,ContextCounter
1060,1513593175633399810,0,HS,1513593175633399810,I think men hate Pete Davidson because he disproves all their shallow theories about what women want and validate that what we want is a decent human being who gets us and is funny.,0,reasons,Sexism,ContextCounter
1061,1513593175633399810,1,CN,1514346312594038799,"  I'll ask it 100 times over...

Why is *anyone* surprised at Pete Davidson being a sex symbol? *Every* *single* (straight cis...but beyond that too) guy I've ever met that had Pete Davidson's qualities was massively popular with women.

I don't get the people that don't get it.",1,credibility,Sexism,ContextCounter
1062,1513593175633399810,2,CN,1513782734736412675," Do men hate Pete Davidson? I disagree with this whole premise. Just because you know a guy who's jealous of PD doesn't mean ""men"" hate Pete Davidson.",1,reasons,Sexism,ContextCounter
824,1150134298604761088,1,CN,1150148787215593472, There is no logic just a sense of entitlement.,1,None,Racism,ContextCounter
823,1150134298604761088,0,HS,1150134298604761088,"Soo can anyone explain this logic to me? I show no interest in you after weeks of you begging for my attention, so it gets to this point. What is the point of trying to shame me just because I rejected you? Gays are disgusting. https://t.co/XwbcRSblYu",0,reasons,Racism,ContextCounter
1750,1245416464862994433,0,HS,1245416464862994433,"A 56-year-old Muslim man has died of #COVID19 in Dharavi.

He has no travel history.

Million people live in #Dharavi. 1/3rd of its population is Muslim.

Govt must check all mosques in the locality. They must be hiding hundreds of #TablighiJamatVirus.

https://t.co/6S77C1R9dH",0,reasons,Religious,ContextCounter
1751,1245416464862994433,1,CN,1245640813863784448," Today hindu man 2nd case in #Dharavi .... Come and see in here.. We are here happy... Do not bring your Religious terrorism here... Keep this in North India...

Every Religion has done mistakes.. Today Ram Navami celebrated, Sunday a Congregation was done in a church...",1,reasons,Religious,ContextCounter
1190,1298318029747625986,0,HS,1298318029747625986,literally all u had to say was my bad..........i fucking hate white people lmao https://t.co/8tR8T9zELj,0,reasons,Racism,ContextCounter
1191,1298318029747625986,1,CN,1298330808483221506, literally all u had to do was not embarrass urself by attacking someone and then making a racist remark to try to justify urself.... lmao,1,reasons,Racism,ContextCounter
899,748733398055686144,0,HS,748733398055686144,"I've never spoken publicly about my brother but I'm sick of retard being used as a punchline. This is for him. x
https://t.co/RrgwlQZdMC",0,None,Other,ContextCounter
900,748733398055686144,1,CN,748798431657734144,"  Agree with sentiment, but if prickly about words why start your piece with racist slang (Irish twins)?",1,reasons,Other,ContextCounter
902,748733398055686144,3,CN,748783760758366212,".. except he didn't mock disabled people. He mocked himself, an able minded persons for feeling less mentally able?",1,emotions,Other,ContextCounter
592,337316851791036416,0,HS,337316851791036416,"Fuck pakis, fuck muslims, fuck you all. Go back to where you're wanted #scum",0,emotions,Religious,ContextCounter
593,337316851791036416,1,CN,337317298211790850," By the sounds of things, you're not wanted here you anachronistic, small minded piece of shit.",1,emotions,Religious,ContextCounter
490,848368121186582528,0,HS,848368121186582528,"  Don't think the world is as ignorant as you.Just because you think a certain law doesn't exist,doesn't make it true,you look foolish.",0,emotions,Other,ContextCounter
491,848368121186582528,1,CN,848369360070737920,"  It's considered a civil offense, not a criminal one, ape.",1,reasons,Other,ContextCounter
850,1468770957003157506,0,HS,1468770957003157506,Reason why I despise American wrestling fans with such racist disrespect. 😡 #AEWDynamite https://t.co/Iw3LBM1BUo,0,None,Other,ContextCounter
851,1468770957003157506,1,CN,1469064099757703175, Riho has been wrestling since she was 9 what are they on?,1,None,Other,ContextCounter
1045,1276148037677715456,0,HS,1276148037677715456,"Why are people so stupid? Really? I'm so sick of female streamers getting called out for cleavage or whatever. TF. So what? A streamer can't be sexy- can't have some sex appeal? Why? That's part of entertainment. So tired of pathetic guys whining about it ""not being fair"". Stfu. https://t.co/osu1NTxSds",0,reasons,Sexism,ContextCounter
1046,1276148037677715456,1,CN,1276159015400202241," I actually disagree on this. I mean, yes dudes shouldn't be whining because they don't have boobs to show off, but....I am very against these ladies that use their ""assets"" to sell their channel and merch. I always feel a little disappointed for them and women in general.",1,emotions,Sexism,ContextCounter
141,1345086157164580865,0,HS,1345086157164580865,This dude just said the NFL stole a day from church lmao I can't stand religious people sometimes.,0,reasons,Religious,ContextCounter
142,1345086157164580865,1,CN,1345090044810428416, Smh. Church usually starts and ends before the NFL games even start. Plus it's a day of rest and alot of people have that day off so another reason all the games are on Sunday.,1,emotions,Religious,ContextCounter
1192,1178147848724127745,0,HS,1178147848724127745,people undergo the level of degradation that Lee Ermey dishes out just to be on TV (they don't get called faggot or nigger so I guess that makes it ok),0,emotions,Other,ContextCounter
1193,1178147848724127745,1,CN,1178148130258378753,"people get shot up just for walking around, it was genuinely surprising to me that Gomer Pyle stopped with the sergeant and killed himself",1,emotions,Other,ContextCounter
1069,1265368450429521922,0,HS,1265368450429521922,"i just saw the video from minneapolis cops. i’m so disgusted. i fucking hate white people, i’m disgusted.",0,reasons,Religious,ContextCounter
1070,1265368450429521922,1,CN,1265380442867486720, it hits different when it happens in your state like??? I honestly thought we were better than this https://t.co/QFSvbyJzCR,1,None,Religious,ContextCounter
852,1539969692319641602,0,HS,1539969692319641602,not gonna go on a rant about how much I despise religious people bc I'll be here for a while,0,reasons,Religious,ContextCounter
853,1539969692319641602,1,CN,1539970916850905089," That's so sad that there's people like that... Happiness it's happiness why religion need to be part that's a bad thing. 
Everyone misinterprets religious words and thinks everything is a sin",1,reasons,Religious,ContextCounter
1018,1224824963825164289,0,HS,1224824963825164289," To each his own. I don't believe that but that doesn't mean I hate transgender people,would every discriminate against them. I'm female &amp; being erased IMO. Transgender women do not have miscarriages, a lot of anguish in that. But I caused a sh-t storm for having an opinion.",0,reasons,Sexism,ContextCounter
1019,1224824963825164289,1,CN,1224826225329352705,  I'm a ciswoman and I never had a miscarriage. I've never been pregnant. It's honestly pretty out of touch to associated being a woman with having a miscarriage.,1,reasons,Sexism,ContextCounter
1194,1044596023442776066,0,HS,1044596023442776066,"A MILF is a sexy ass mom over 35. If you’re 20, you’re just a bitch with a baby.",0,reasons,Sexism,ContextCounter
1195,1044596023442776066,1,CN,1045277442984808449," But a MILF stands for a Mum I would like to fuck so the key word is MUM so if you are a mum and sexy age does not define that title and you can't just be calling females bitches do you not have a mum, aunties, sister's and cousins have some respect Bro.",1,reasons,Sexism,ContextCounter
124,1372210726761271296,0,HS,1372210726761271296,white politicians called COVID the “chinese virus” and “kung flu” for an entire year and have the fucking audacity to wonder why asians being murdered or ask “how could this have happened??” lmao,0,reasons,Racism,ContextCounter
125,1372210726761271296,1,CN,1372335588754534406, The virus came from wuhan China being the reason its not called the Australian virus 🤣!!,1,reasons,Racism,ContextCounter
126,1372210726761271296,2,CN,1372261175082225669," So, basically, you jumped to conclusions without knowing the facts. Like most liberals, your first instinct is to yell racism. This is why we don't take people like you seriously   https://t.co/VlOOAhB69v",1,reasons,Racism,ContextCounter
854,1291456233090609154,0,HS,1291456233090609154,men be like “ew i hate gay people so gross ew don’t look at me” then be like “mm yummy bi girls kiss each other so hot mm sexy”,0,reasons,Sexism,ContextCounter
855,1291456233090609154,1,CN,1291466907380600838, Cause it's perfectly fine for women to be sensual with each other. Men we suppose to take care and love ya'll. Not each other.,1,reasons,Sexism,ContextCounter
170,1468934714232868868,0,HS,1468934714232868868,"I'm sick of old people asking me ""What happened to innocent until proven guilty?"" 

Um, nothing. That's a rule for the COURTS, not for who I'm gonna associate with and support.",0,reasons,Other,ContextCounter
171,1468934714232868868,1,CN,1468964022162628608," Well, the benefit of the doubt is for deciding if you're gonna hang someone from the gallows.  Sharing airspace?  Not so much.",1,reasons,Other,ContextCounter
1071,907370846272065538,0,HS,907370846272065538,"the ironic fact that you're outraged by ""your white is showing"" and not ""what a fucking nigger"" confirms that you are, literally, like that. https://t.co/eWeLlOwxBO",0,reasons,Racism,ContextCounter
1072,907370846272065538,1,CN,907373058037559298, That ain't cool. That's some racist shit at it's finest. #AllLivesMatter,1,emotions,Racism,ContextCounter
176,1513639914730098691,0,HS,1513639914730098691,I hate female death stares like is you trynna kill me ?,0,emotions,Other,ContextCounter
